skill_a,skill_b,co_occurrence_count,support,confidence_a_to_b,lift
NuGet,Visual Studio Solution,4413,0.0735,0.5071,3.659
C#,NuGet,8056,0.1342,0.4937,3.404
Microsoft SQL Server,NuGet,5819,0.097,0.4383,3.022
Maven (build tool),Gradle,3481,0.058,0.4127,2.98
Express,Next.js,3692,0.0615,0.4286,2.963
Webpack,Yarn,5021,0.0837,0.5036,2.96
PHP,MariaDB,4793,0.0799,0.4377,2.921
Java,Maven (build tool),7451,0.1242,0.4085,2.906
C,C++,8134,0.1355,0.6676,2.897
C#,Visual Studio Solution,6344,0.1057,0.3888,2.806
Next.js,React,7465,0.1244,0.8599,2.692
Express,Node.js,7577,0.1263,0.8796,2.67
Vite,Webpack,4735,0.0789,0.4383,2.638
Microsoft SQL Server,Visual Studio Solution,4783,0.0797,0.3603,2.6
PowerShell,NuGet,3132,0.0522,0.3761,2.593
Next.js,Yarn,3801,0.0633,0.4379,2.574
PHP,jQuery,4810,0.0802,0.4392,2.539
MongoDB,Express,4691,0.0782,0.3607,2.512
Microsoft Azure,NuGet,4649,0.0775,0.3618,2.495
C#,Microsoft SQL Server,8944,0.149,0.5481,2.478
Express,Vite,3820,0.0637,0.4435,2.463
Java,Gradle,6137,0.1023,0.3365,2.43
Next.js,Vite,3793,0.0632,0.4369,2.427
Next.js,Webpack,3500,0.0583,0.4032,2.427
Express,Webpack,3453,0.0575,0.4009,2.413
Vite,Yarn,4422,0.0737,0.4093,2.406
Microsoft SQL Server,Microsoft Azure,6799,0.1133,0.5122,2.392
C,Make,5313,0.0885,0.4361,2.324
PowerShell,Visual Studio Solution,2674,0.0446,0.3211,2.317
Express,Yarn,3337,0.0556,0.3874,2.277
Next.js,Node.js,6502,0.1084,0.749,2.273
PowerShell,Microsoft SQL Server,4129,0.0688,0.4958,2.241
Redis,Kubernetes,4051,0.0675,0.3872,2.212
Express,React,6083,0.1014,0.7062,2.211
PHP,MySQL,8348,0.1391,0.7623,2.168
React,Webpack,6761,0.1127,0.3527,2.123
React,Yarn,6879,0.1146,0.3589,2.11
PowerShell,Microsoft Azure,3747,0.0624,0.4499,2.101
C#,PowerShell,4722,0.0787,0.2894,2.085
React,Vite,7180,0.1196,0.3746,2.081
MariaDB,jQuery,3223,0.0537,0.3585,2.072
TypeScript,Next.js,6915,0.1152,0.2987,2.065
Microsoft Azure,Visual Studio Solution,3675,0.0612,0.286,2.064
MongoDB,Next.js,3847,0.0641,0.2958,2.045
MySQL,MariaDB,6368,0.1061,0.3018,2.014
C#,Microsoft Azure,6934,0.1155,0.4249,1.984
TypeScript,Vite,8239,0.1373,0.3559,1.977
TypeScript,Express,6522,0.1087,0.2817,1.963
C++,Make,5041,0.084,0.3646,1.943
TypeScript,Webpack,7451,0.1242,0.3219,1.937
Homebrew,Kubernetes,4094,0.0682,0.3389,1.936
Node.js,Webpack,6347,0.1058,0.321,1.932
npm,Webpack,8549,0.1425,0.3182,1.915
Node.js,Vite,6779,0.113,0.3429,1.904
Homebrew,Yarn,3912,0.0652,0.3238,1.903
TypeScript,Yarn,7471,0.1245,0.3227,1.897
